Node,Degree Centrality,Page Rank,Betweenness Centrality,Closeness Centrality
13011712,1,0.5242486101,0,0.1446684073
13026532,1,0.5101711708,0,0.1762071948
13052192,1,0.5252243692,0,0.1353659728
13070362,1,0.5055314052,0,0.1778268461
13077582,1,0.5020010248,0,0.1721258512
13102962,1,0.5180188538,0,0.1562408356
13113052,1,0.5148774809,0,0.1599021102
13123332,1,0.5188341625,0,0.157387629
13125362,1,0.5235272275,0,0.1380176159
13188112,1,0.4921246501,0,0.1590867328
13203362,1,0.5065079473,0,0.1698631481
13233302,2,0.8960835182,507919.3655,0.1678623364
13241072,1,0.5218349112,0,0.1628842219
13241162,1,0.5235171686,0,0.1455806621
13244292,1,0.5216771254,0,0.155211438
13259132,1,0.5227816702,0,0.1261084103
13262862,1,0.5221488617,0,0.1485118792
13269212,1,0.4828548109,0,0.1623192482
13271902,1,0.5238004533,0,0.1386114836
13278322,1,0.5097917994,0,0.1502842512
13301812,1,0.5113582462,0,0.1690133971
13320192,1,0.5230694623,0,0.1429308459
13361922,1,0.5030463868,0,0.162106495
